agency_nbr,agency,status
2,Abraham Lincoln Capital Airport PD,Active
3,Adams Co Circuit Clerk,Active
4,Adams Co Coroner's Office,Inactive
5,Adams Co State's Attorney,Inactive
6,Adams County Sheriff's Office,Active
7,Addison Police Dept,Active
8,Albany Police Dept,Active
9,Albers Police Dept,Active
10,Albion Police Dept,Active
11,Aledo Police Dept,Active
12,Alexander Co Circuit Clerk,Active
13,Alexander Co Coroner's Office,Inactive
14,Alexander Co State's Attorney,Inactive
15,Alexander County Sheriff's Office,Active
16,Alexis Police Dept,Active
17,Algonquin Police Dept,Active
18,Alma Police Dept,Active
19,Alorton Police Dept,Active
20,Alpha Police Department,Active
21,Alsey Police Department,Inactive
22,Alsip Police Dept,Active
23,Altamont Police Dept,Active
24,Alton & Southern Railway Police,Active
25,Alton Police Dept,Active
26,Altona Police Dept,Inactive
27,Alvin Police Department,Inactive
28,Amboy Police Dept,Active
29,Amtrak Police Dept,Active
30,Andalusia Police Dept,Inactive
31,Anna Police Dept,Active
32,Annawan Police Dept,Active
33,Antioch Police Dept,Active
34,Apple River Police Dept,Active
35,Arcola Police Dept,Active
36,Arenzville Police Deparment,Inactive
37,Argenta Police Dept,Inactive
38,Arlington Heights Police Dept,Active
39,Armington Police Department,Active
40,Aroma Park Police Dept,Inactive
41,Arthur Police Dept,Active
42,Ashkum Police Dept,Active
43,Ashland Police Dept,Active
44,Ashley Police Dept,Inactive
45,Ashton Police Dept,Active
46,Assumption Police Dept,Active
47,Astoria Police Dept,Inactive
48,Athens Police Dept,Active
49,Atkinson Police Dept,Active
50,Atlanta Police Dept,Active
51,Atwood Police Dept,Active
52,Auburn Police Dept,Active
53,Augusta Police Dept,Inactive
54,Aurora Police Dept,Active
55,Aurora University Police Dept,Active
56,Ava Police Dept,Active
57,Aviston Police Dept,Active
58,Avon Police Dept,Active
59,Baldwin Police Dept,Active
60,Bannockburn Police Dept,Active
61,Barrington Hills Police Dept,Active
62,Barrington Police Dept,Active
63,Barry Police Dept,Inactive
64,Bartlett Police Dept,Active
65,Bartonville Police Dept,Active
66,Batavia Police Dept,Active
67,Bath Police Dept,Active
68,Baylis Police Department,Inactive
69,Bayview Gardens Police Dept,Active
70,Beardstown Police Dept,Active
71,Beckemeyer Police Dept,Active
72,Bedford Park Police Dept,Active
73,Beecher Police Dept,Active
74,Belgium Police Dept,Inactive
75,Belleville Police Dept,Active
76,Bellflower Police Dept,Inactive
77,Bellwood Police Dept,Active
78,Belt Railway Police Dept,Active
79,Belvidere Police Dept,Active
80,Bement Police Dept,Active
81,Benedictine University Police Dept,Active
82,Benedictine University Springfield,Active
83,Benld Police Dept,Inactive
84,Bensenville Police Dept,Active
85,Benson Police Dept,Inactive
86,Benton Park District Police Dept,Inactive
87,Benton Police Dept,Active
88,Berkeley Police Dept,Active
89,Berwyn Police Dept,Active
90,Bethalto Police Dept,Active
91,Bethany Police Dept,Active
92,Biggsville Police Dept,Inactive
93,Black Hawk College Police Dept,Active
94,Blandinsville Police Dept,Active
95,Bloomingdale Police Dept,Active
96,Bloomington Lake & Park Police,Inactive
97,Bloomington Police Dept,Active
98,Blue Island Police Dept,Active
99,Blue Mound Police Dept,Active
100,Bluffs Police Department,Active
101,Bolingbrook Police Dept,Active
102,Bond Co Circuit Clerk,Active
103,Bond Co Coroner's Office,Inactive
104,Bond Co State's Attorney,Active
105,Bond County Sheriff's Office,Active
106,Bonnie Police Dept,Inactive
107,Boone Co Circuit Clerk,Active
108,Boone Co Coroner's Office,Inactive
109,Boone Co State's Attorney,Active
110,Boone County Sheriff's Office,Active
111,Bourbonnais Police Dept,Active
112,Bradford Police Dept,Active
113,Bradley Police Department,Active
114,Bradley Univ Police Dept,Active
115,Braidwood Police Dept,Active
116,Breese Police Dept,Active
117,Bridgeport Police Dept,Active
118,Bridgeview Police Dept,Active
119,Brighton Police Dept,Active
120,Brimfield Police Dept,Inactive
121,Broadview Police Dept,Active
122,Brocton Police Dept,Active
123,Brookfield Police Dept,Active
124,Brookfield Zoo Police Dept,Active
125,Brooklyn Police Dept,Active
126,Brookport Police Dept,Active
127,Brown Co Circuit Clerk,Active
128,Brown Co Coroner's Office,Inactive
129,Brown Co State's Attorney,Inactive
130,Brown County Sheriff's Office,Active
131,Brownstown Police Dept,Active
132,Buckingham Police Dept,Inactive
133,Buckley Police Dept,Active
134,Buckner Police Dept,Active
135,Buda Police Dept,Active
136,Buffalo Grove Police Dept,Active
137,Buffalo-Mechanicsburg Police Dept,Active
138,Bull Valley Police Dept,Active
139,Buncombe Police Dept,Inactive
140,Bunker Hill Police Dept,Active
141,Burbank Police Dept,Active
142,Bureau Co Circuit Clerk,Active
143,Bureau Co Coroner's Office,Inactive
144,Bureau Co State's Attorney,Active
145,Bureau County Sheriff's Office,Active
146,Bureau Police Dept,Active
147,Burlington Northern/Santa Fe Railrd,Active
148,Burlington Police Dept,Inactive
149,Burnham Police Dept,Active
150,Burr Ridge Police Dept,Active
151,Bush Police Dept,Inactive
152,Bushnell Police Dept,Active
153,Byron Police Dept,Active
154,Cahokia Police Dept,Active
155,Cahokia School Dist #187 Police,Inactive
156,Cairo Police Dept,Active
157,Calhoun Co Circuit Clerk,Active
158,Calhoun Co Coroner's Office,Inactive
159,Calhoun Co State's Attorney,Active
160,Calhoun County Sheriff's Office,Active
161,Calumet City Police Dept,Active
162,Calumet Park Police Dept,Active
163,Cambria Police Dept,Active
164,Cambridge Police Dept,Inactive
165,Camp Point Police Dept,Active
166,Campton Hills Police Dept,Active
167,Canadian National Railroad Police,Active
168,Canadian Pacific Police Service,Active
169,Canton Park Dist Police Dept,Active
170,Canton Police Dept,Active
171,Capron Police Department,Inactive
172,Carbon Cliff Police Dept,Inactive
173,Carbondale Police Dept,Active
174,Carl Sandburg Campus Public Safety,Active
175,Carlinville Police Dept,Active
176,Carlyle Police Dept,Active
177,Carmi Police Dept,Active
178,Carol Stream Park Police Dept,Inactive
179,Carol Stream Police Dept,Active
180,Carpentersville Police Dept,Active
181,Carrier Mills Police Dept,Active
182,Carroll Co Circuit Clerk,Active
183,Carroll Co Coroner's Office,Inactive
184,Carroll Co State's Attorney,Active
185,Carroll County Sheriff's Office,Active
186,Carrollton Police Dept,Active
187,Carterville Police Dept,Active
188,Carthage Police Dept,Active
189,Cary Police Dept,Active
190,Casey Police Dept,Active
191,Caseyville Police Dept,Active
192,Cass Co Circuit Clerk,Active
193,Cass Co Coroner's Office,Inactive
194,Cass Co State's Attorney,Inactive
195,Cass County Sheriff's Office,Active
196,Catlin Police Dept,Active
197,Cave-in-Rock Police Dept,Active
198,Cedar Point Police Dept,Active
199,Cedarville Police Dept,Active
200,Central City Police Dept,Active
201,Centralia Police Dept,Active
202,Centreville Police Dept,Active
203,Cerro Gordo Police Dept,Inactive
205,CHA Inspector General,Active
206,Chadwick Police Dept,Active
207,Champaign Co Circuit Clerk,Active
208,Champaign Co Coroner's Office,Inactive
209,Champaign Co Forest Pres Dist,Inactive
210,Champaign Co State's Attorney,Active
211,Champaign County Sheriff's Office,Active
212,Champaign Police Dept,Active
213,Chandlerville Police Dept,Active
214,Channahon Police Dept,Active
215,Chapin Police Department,Active
216,Charleston Police Dept,Active
217,Chatham Police Dept,Active
218,Chebanse Police Dept,Inactive
219,Chenoa Police Dept,Active
220,Cherry Police Dept,Active
221,Cherry Valley Police Dept,Active
222,Chester Police Dept,Active
223,Chesterfield Police Dept,Inactive
224,Chicago Heights Park Dist PD,Active
225,Chicago Heights Police Dept,Active
226,Chicago Housing Auth Police Dept,Inactive
227,Chicago Police Dept,Active
228,Chicago Ridge Police Dept,Active
229,Chicago State University Police,Active
230,Chicago Transit Authority Police,Inactive
231,Chillicothe Police Dept,Active
232,Chrisman Police Dept,Active
233,Christian Co Circuit Clerk,Active
234,Christian Co Coroner's Office,Inactive
235,Christian Co State's Attorney,Inactive
236,Christian County Sheriff's Office,Active
237,Christopher Police Dept,Active
238,Cicero Police Dept,Active
239,Cissna Park Police Dept,Active
240,City Colleges Of Chicago,Inactive
241,Clarendon Hills Police Dept,Active
242,Clark Co Circuit Clerk,Active
243,Clark Co Coroner's Office,Inactive
244,Clark Co State's Attorney,Active
245,Clark County Sheriff's Office,Active
246,Clay City Police Dept,Inactive
247,Clay Co Circuit Clerk,Active
248,Clay Co Coroner's Office,Inactive
249,Clay Co State's Attorney,Active
250,Clay County Sheriff's Office,Active
251,Clayton Police Dept,Active
252,Clifton Police Department,Active
253,Clinton Co Circuit Clerk,Active
254,Clinton Co Coroner's Office,Inactive
255,Clinton Co State's Attorney,Inactive
256,Clinton County Sheriff's Office,Active
257,Clinton Police Dept,Active
258,Clyde Park Dist Police Dept,Inactive
259,Coal City Police Dept,Active
260,Coal Valley Police Dept,Active
261,Cobden Police Dept,Active
262,Coffeen Police Dept,Active
263,Colchester Police Dept,Active
264,Coles Co Circuit Clerk,Active
265,Coles Co Coroner's Office,Inactive
266,Coles Co State's Attorney,Active
267,Coles County Airport Police Dept,Inactive
268,Coles County Sheriff's Office,Active
269,Colfax Police Dept,Active
270,College of DuPage Police Department,Active
271,College of Lake County Police Dept,Active
272,Collinsville Police Dept,Active
273,Colona Police Dept,Active
274,Columbia Police Dept,Active
275,Conrail Police Department,Inactive
276,Cook Co Circuit Clerk,Active
277,Cook Co State's Attorney,Active
278,Cook County Court Services,Active
279,Cook County Dept Of Corrections,Active
280,Cook County Forest Pres Dist Police,Active
281,Cook County Sheriff's Office,Active
282,Cook County Sheriff's Police,Active
283,Cordova Police Dept,Inactive
284,Cortland Police Dept,Active
285,Coulterville Police Dept,Active
286,Country Club Hills Police Dept,Active
287,Countryside Police Department,Active
288,Cowden Police Department,Active
289,Crainville Police Dept,Active
290,Crawford Co Circuit Clerk,Active
291,Crawford Co Coroner's Office,Inactive
292,Crawford Co State's Attorney,Inactive
293,Crawford County Sheriff's Office,Active
294,Creal Springs Police Dept,Active
295,Crest Hill Police Dept,Active
296,Crestwood Police Dept,Active
297,Crete Police Dept,Active
298,Creve Coeur Police Dept,Active
299,Crossville Police Dept,Active
300,Crystal Lake Park Dist Police Dept,Active
301,Crystal Lake Police Dept,Active
302,CSX Railroad Police Dept,Active
303,CTA Inspector General,Inactive
304,Cuba Police Dept,Inactive
305,Cullom Police Dept,Inactive
306,Cumberland Co Circuit Clerk,Active
307,Cumberland Co Coroner's Office,Inactive
308,Cumberland Co State's Attorney,Active
309,Cumberland County Sheriff's Office,Active
310,Cutler Police Dept,Inactive
311,Cypress Police Dept,Inactive
312,Dakota Police Dept,Inactive
313,Dallas City Police Dept,Active
314,Dalzell Police Dept,Active
315,Danvers Police Dept,Active
316,Danville Police Dept,Active
317,Darien Police Dept,Active
318,Decatur Park Police Dept,Active
319,Decatur Police Dept,Active
320,Deer Creek Police Dept,Active
321,Deerfield Police Dept,Active
322,DeKalb Co Circuit Clerk,Active
323,DeKalb Co Coroner's Office,Inactive
324,DeKalb Co State's Attorney,Inactive
325,DeKalb County Sheriff's Office,Active
326,DeKalb Police Dept,Active
327,Delavan Police Dept,Active
328,Chicago Dept of Aviation Police,Inactive
329,Dept of Vet Affair Police - N Chic,Inactive
330,DePue Police Dept,Active
331,Des Plaines Police Dept,Active
332,DeSoto Police Dept,Active
333,DeWitt Co Circuit Clerk,Active
334,DeWitt Co Coroner's Office,Inactive
335,DeWitt Co State's Attorney,Inactive
336,DeWitt County Sheriff's Office,Active
337,Divernon Police Dept,Active
338,Dixmoor Park Dist Police Dept,Inactive
339,Dixmoor Police Dept,Active
340,Dixon Police Dept,Active
341,Dolton Park Dist Police Dept,Inactive
342,Dolton Police Dept,Active
343,Dongola  Police Dept,Active
344,Donnellson Police Dept,Active
345,Donovan Police Dept,Inactive
346,Douglas Co Circuit Clerk,Active
347,Douglas Co Coroner's Office,Inactive
348,Douglas Co State's Attorney,Active
349,Douglas County Sheriff's Office,Active
350,Dowell Police Dept,Active
351,Downers Grove Police Dept,Active
352,Downs  Police Dept,Active
353,Dunfermline Police Dept,Active
354,DuPage Co Circuit Clerk,Active
355,DuPage Co Coroner's Office,Inactive
356,DuPage Co Forest Pres Police,Active
357,DuPage Co State's Attorney,Active
358,DuPage County Sheriff's Office,Active
359,Dupo Police Dept,Active
360,Du Quoin Police Dept,Active
361,Durand Police Department,Active
362,Dwight Police Dept,Active
363,Eagarville Police Department,Inactive
364,Earlville Police Dept,Active
365,East Alton Police Dept,Active
366,East Cape Girardeau Police Dept,Active
367,East Carondelet Police Dept,Active
368,East Dubuque Police Dept,Active
369,East Dundee Police Dept,Active
370,East Galesburg Police Dept,Active
371,East Hazel Crest Police Dept,Active
372,East Moline Police Dept,Active
373,East Peoria Police Dept,Active
374,East St. Louis Comm Coll Police Dep,Inactive
375,East St. Louis Park Dist Police,Active
376,East St. Louis Police Dept,Active
377,Eastern IL University Police Dept,Active
378,Easton Police Dept,Active
379,Edgar Co Circuit Clerk,Active
380,Edgar Co Coroner's Office,Inactive
381,Edgar Co State's Attorney,Active
382,Edgar County Sheriff's Office,Active
383,Edgewood Police Dept,Inactive
384,Edinburg Police Dept,Active
385,Edwards Co Circuit Clerk,Active
386,Edwards Co Coroner's Office,Inactive
387,Edwards Co State's Attorney,Active
388,Edwards County Sheriff's Office,Active
389,Edwardsville Police Dept,Active
390,Effingham Co Circuit Clerk,Active
391,Effingham Co Coroner's Office,Inactive
392,Effingham Co State's Attorney,Active
393,Effingham County Sheriff's Office,Active
394,Effingham Police Dept,Active
395,Effingham Water Auth Police Dept,Active
396,EJ&E Railway Police Dept,Inactive
397,El Paso Police Dept,Active
398,Elburn Police Dept,Active
399,Eldorado Police Dept,Active
400,Eldred Police Dept,Inactive
401,Elgin Community College Police Dept,Active
402,Elgin Police Dept,Active
403,Elizabeth Police Dept,Active
404,Elizabethtown Police Dept,Active
405,Elk Grove Village Police Dept,Active
406,Elkhart Police Department,Active
407,Elkville Police Dept,Active
408,Ellis Grove Police Dept,Active
409,Ellisville Police Dept,Inactive
410,Ellsworth Police Dept,Inactive
411,Elmhurst Police Department,Active
412,Elmwood Park Police Dept,Active
413,Elmwood Police Dept,Active
414,Elsah Police Dept,Active
415,Elwood Police Dept,Active
416,Emden Police Dept,Inactive
417,Energy Police Dept,Active
418,Enfield Police Dept,Active
419,Equality Police Dept,Active
420,Erie Police Dept,Active
421,Essex Police Dept,Active
422,Eureka Police Dept,Active
423,Evanston Police Dept,Active
424,Evansville Police Dept,Active
425,Evergreen Park Police Dept,Active
426,Ewing Police Department,Active
427,Fairbury Police Dept,Active
428,Fairfield Police Dept,Active
429,Fairmont City Police Dept,Active
430,Fairmount Police Dept,Active
431,Fairview Heights Police Dept,Active
432,Fairview Police Dept,Active
433,Farina Police Dept,Active
434,Farmer City Police Dept,Active
435,Farmington Police Dept,Active
436,Fayette Co Circuit Clerk,Active
437,Fayette Co Coroner's Office,Inactive
438,Fayette Co State's Attorney,Active
439,Fayette County Sheriff's Office,Active
440,Fayetteville Police Dept,Active
441,Fidelity Police Dept,Inactive
442,Fillmore Police Dept,Active
443,Findlay Police Dept,Active
444,Fisher Police Dept,Active
445,Fithian Police Dept,Active
446,Flora Police Dept,Active
447,Flossmoor Police Dept,Active
448,Fondulac Park Dist Police Dept,Active
449,Ford Co Circuit Clerk,Active
450,Ford Co Coroner's Office,Inactive
451,Ford Co State's Attorney,Inactive
452,Ford County Sheriff's Office,Active
453,Ford Heights Police Dept,Inactive
454,Forest City Police Dept,Active
455,Forest Park Park Dist Police Dept,Inactive
456,Forest Park Police Dept,Active
457,Forest View Police Dept,Active
458,Forreston Police Dept,Active
459,Fox Lake Police Dept,Active
460,Fox River Grove Police Dept,Active
461,Fox Valley Airport Authority Police,Inactive
462,Fox Valley Park Dist Police Dept,Active
463,Frankfort Police Dept,Active
464,Franklin Co Circuit Clerk,Active
465,Franklin Co Coroner's Office,Inactive
466,Franklin Co State's Attorney,Inactive
467,Franklin County Sheriff's Office,Active
468,Franklin Grove Police Dept,Active
469,Franklin Park Police Dept,Active
470,Franklin Police Dept,Inactive
471,Freeburg Police Dept,Active
472,Freeman Spur Police Dept,Active
473,Freeport Police Dept,Active
474,Fulton Co Circuit Clerk,Active
475,Fulton Co Coroner's Office,Inactive
476,Fulton Co State's Attorneys,Inactive
477,Fulton County Sheriff's Office,Active
478,Fulton Police Dept,Active
479,Galatia Police Dept,Active
480,Galena Police Department,Active
481,Galesburg Police Dept,Active
482,Galesburg Public School Police Dept,Inactive
483,Gallatin Co Circuit Clerk,Active
484,Gallatin Co Coroner's Office,Inactive
485,Gallatin Co State's Attorney,Inactive
486,Gallatin County Sheriff's Office,Active
487,Galva Police Dept,Active
488,Gardner Police Dept,Inactive
489,Geneseo Police Dept,Active
490,Geneva Police Dept,Active
491,Genoa Police Dept,Active
492,Georgetown Police Dept,Active
493,German Valley Police Dept,Active
494,Germantown Police Dept,Active
495,Gibson City Police Dept,Active
496,Gifford Police Dept,Active
497,Gilberts Police Dept,Active
498,Gillespie Police Dept,Active
499,Gilman Police Dept,Active
500,Girard Police Dept,Active
501,Gladstone Police Dept,Active
502,Glasford Police Dept,Active
503,Glen Carbon Police Dept,Active
504,Glen Ellyn Police Dept,Active
505,Glencoe Dept Public Safety,Active
506,Glendale Heights Police Dept,Active
507,Glenview Police Dept,Active
508,Glenwood Police Dept,Active
509,Godley Police Dept,Inactive
510,Golconda Police Dept,Active
511,Golden Police Dept,Inactive
512,Golf Police Dept,Active
513,Goodfield  Police Department,Inactive
514,Goreville Police Dept,Active
515,Gorham Police Dept,Inactive
516,Governors State Univ Police Dept,Active
517,Grafton Police Dept,Active
518,Grand Ridge Police Dept,Active
519,Grand Tower Police Dept,Active
520,Grandview Police Dept,Active
521,Granite City Police Dept,Active
522,Grant Park Police Department,Active
523,Grantfork Police Department,Active
524,Granville Police Dept,Active
525,Grayslake Police Dept,Active
526,Grayville Police Dept,Active
527,Great Lakes Police Dept,Inactive
528,Greater Peoria Airport Auth Police,Inactive
529,Greater Rockford Airport Police,Inactive
530,Green Rock Police Dept,Inactive
531,Green Valley Police Dept,Active
532,Greene Co Circuit Clerk,Active
533,Greene Co Coroner's Office,Inactive
534,Greene Co State's Attorney,Active
535,Greene County Sheriff's Office,Active
536,Greenfield Police Dept,Active
537,Greenup Police Dept,Active
538,Greenview Police Dept,Active
539,Greenville Police Dept,Active
540,Gridley Police Dept,Inactive
541,Griggsville Police Dept,Inactive
542,Grundy Co Circuit Clerk,Active
543,Grundy Co Coroner's Office,Inactive
544,Grundy Co State's Attorney,Active
545,Grundy County Sheriff's Office,Active
546,Gulfport Police Dept,Active
